bedroom,bathrooms,area,furnishing,floor_number,parking,powerbackup,gate_community,location,rent,location_encoded,furnishing_encoded
3,3,1530.0,Semifurnished,2,2,2,Yes,Atul Westernhills,28000.0,27,1
3,3,0.0,Semifurnished,7,1,0,Yes,Tuscan Estate Signature Meadows,35000.0,318,1
1,1,445.0,Semifurnished,1,1,1,Yes,Puraniks Aldea,14999.0,262,1
3,3,1350.0,Semifurnished,1,1,0,Yes,Paranjape Blue Ridge,27000.0,236,1
1,1,0.0,Unfurnished,4,1,0,No,Swaraj Residency,9500.0,306,2
2,2,1000.0,Furnished,6,1,1,Yes,Green valley,26000.0,103,0
1,1,475.0,Unfurnished,2,1,0,No,Pimple Gurav,8500.0,246,2
2,2,1100.0,Unfurnished,1,1,0,No,Mahesh Society,23000.0,173,2
1,1,453.0,Unfurnished,6,1,2,Yes,Gemini Grand Bay,10000.0,84,2
3,3,1450.0,Furnished,6,2,2,Yes,Geras Song Of Joy,35000.0,88,0
2,2,0.0,Furnished,0,3,0,No,Karve Nagar,24000.0,129,0
2,2,1000.0,Unfurnished,3,1,2,Yes,Sudhir Mandke Advantage Homes,19000.0,303,2
3,3,0.0,Semifurnished,4,1,0,Yes,Magarpatta Cosmos Apartment,30000.0,170,1
2,2,910.0,Unfurnished,9,1,1,Yes,Kolte Patil Downtown Langston,22500.0,142,2
2,2,0.0,Semifurnished,2,0,0,No,Karve Nagar,18000.0,129,1
3,3,0.0,Semifurnished,1,2,2,Yes,Bramhacorp F Residences,32000.0,45,1
2,2,0.0,Unfurnished,1,0,0,No,Aishwaryam Hamara,11000.0,11,2
2,2,559.0,Unfurnished,5,1,0,Yes,SKYi Star Towers,12000.0,283,2
2,2,899.0,Semifurnished,2,1,2,Yes,Megapolis Sangria Towers,17000.0,194,1
2,2,0.0,Semifurnished,1,1,0,No,Mundhwa,19000.0,206,1
1,1,0.0,Unfurnished,0,0,0,No,Chandan Nagar,9000.0,48,2
1,2,950.0,Furnished,0,1,2,Yes,Godrej Infinity,20000.0,94,0
1,1,0.0,Unfurnished,0,0,0,No,Kharadi,6000.0,134,2
1,1,466.0,Unfurnished,3,1,2,Yes,Nanded City,10000.0,209,2
1,2,0.0,Unfurnished,9,1,0,Yes,Magarpatta Annex,15000.0,166,2
1,2,355.0,Furnished,7,1,0,No,GK Dayal Heights,16000.0,72,0
1,1,640.0,Furnished,1,1,2,Yes,Hill Shire,11000.0,108,0
2,2,790.0,Unfurnished,9,1,2,Yes,Megapolis Sparklet,18000.0,195,2
3,2,1130.0,Semifurnished,1,1,0,No,Kothrud,30000.0,149,1
1,1,350.0,Furnished,3,1,1,Yes,nul,4500.0,341,0
3,3,1500.0,Unfurnished,5,1,2,Yes,Clover Highlands,33500.0,51,2
2,2,1200.0,Furnished,5,1,1,Yes,Neco Gardens,25000.0,211,0
3,3,1900.0,Semifurnished,1,1,2,Yes,Kolte Patil 24K Opula,45000.0,141,1
1,1,0.0,Unfurnished,1,0,0,No,Manjari Budruk,5000.0,180,2
1,2,0.0,Semifurnished,2,1,0,No,Hadapsar,12000.0,105,1
1,1,380.0,Furnished,4,0,2,Yes,Xrbia City,6500.0,338,0
1,1,400.0,Semifurnished,1,0,0,No,Wadgaon Sheri,9500.0,333,1
2,2,725.0,Semifurnished,6,1,1,Yes,Godrej Infinity,17500.0,94,1
1,2,600.0,Unfurnished,6,1,0,No,Venkatesh Oxy Ultima,9500.0,326,2
2,2,0.0,Unfurnished,3,1,0,Yes,Xrbia Hinjewadi,7000.0,339,2
1,2,500.0,Unfurnished,3,1,0,No,Venkatesh Oxy Ultima,8500.0,326,2
2,2,870.0,Semifurnished,1,1,2,Yes,Duville Riverdale Heights,20000.0,65,1
2,2,0.0,Semifurnished,2,1,2,No,Akurdi,16000.0,13,1
2,2,850.0,Unfurnished,7,1,2,Yes,Lohia Vallonia,22000.0,163,2
1,1,500.0,Semifurnished,8,1,2,Yes,Magarpatta Heliconia,14000.0,171,1
2,2,980.0,Semifurnished,1,1,2,Yes,Magarpatta City Daffodils,21000.0,167,1
1,1,550.0,Unfurnished,1,1,0,No,Aple Ghar Society,9500.0,23,2
1,1,495.0,Unfurnished,2,1,1,Yes,Paranjape Blue Ridge,10000.0,236,2
1,2,0.0,Semifurnished,4,1,0,No,GK Royale Hills,11000.0,76,1
2,2,789.0,Semifurnished,1,1,2,Yes,Bhandari Savannah,12000.0,37,1
1,1,0.0,Furnished,1,1,0,Yes,Karia Konark Orchid,15500.0,128,0
3,2,0.0,Semifurnished,1,1,0,No,Kalpataru Estate,22000.0,120,1
