Area_sqft,Location,BHK,Parking,Gym,Pool,Lift,PowerBackup,AC,Rent_Monthly
720,Hadapsar,1,1,0,0,1,1,0,14600.0
600,Hadapsar,1,1,1,1,1,1,0,13500.0
650,Hadapsar,1,1,1,1,1,1,0,20100.0
650,Hadapsar,1,1,0,0,1,1,1,13500.0
665,Hadapsar,1,1,0,0,1,1,0,15000.0
2000,Hadapsar,4,1,1,1,1,1,0,51000.0
1550,Hadapsar,3,1,0,0,1,1,0,37500.0
1370,Sector-13 Kharghar,3,1,0,0,1,1,1,31500.0
1356,Hadapsar,3,1,1,1,1,1,0,31500.0
1680,Hadapsar,3,1,1,1,1,1,0,45000.0
980,Hadapsar,2,1,1,1,1,1,0,26100.0
1000,Hadapsar,2,1,1,0,1,1,0,27000.0
1060,Hadapsar,2,1,1,1,1,1,0,33000.0
1095,Hadapsar,2,1,1,1,1,1,0,31500.0
1155,Hadapsar,2,1,1,1,1,1,0,29100.0
1150,Hadapsar,2,1,1,1,1,1,0,31500.0
1250,Sector 18 Kharghar,2,1,1,0,1,1,0,24000.0
990,Hadapsar,2,1,1,1,1,1,0,25500.0
1078,Hadapsar,2,1,1,1,1,1,0,27900.0
1150,Hadapsar,2,1,1,1,1,1,0,29700.0
1150,Hadapsar,2,1,1,1,1,1,0,24000.0
1060,Hadapsar,2,1,1,1,1,1,0,27000.0
680,Hadapsar,1,1,0,0,1,1,0,12600.0
2470,Hadapsar,4,1,1,1,1,1,0,84000.0
2100,Hadapsar,4,1,0,0,1,1,0,120000.0
2200,Hadapsar,4,1,1,1,1,1,0,48000.0
2235,Hadapsar,4,1,1,1,1,1,0,51000.0
1025,Hadapsar,2,1,1,1,1,1,0,28500.0
950,Hadapsar,2,1,1,1,1,1,0,28500.0
895,Hadapsar,2,1,0,0,1,1,0,22500.0
1114,Hadapsar,2,1,1,1,1,1,0,25500.0
1197,Hadapsar,2,1,1,1,1,1,1,39000.0
1380,Hadapsar,2,1,1,1,1,1,0,41100.0
1050,Hadapsar,2,1,0,0,1,1,0,24000.0
1240,Hadapsar,2,1,1,1,1,1,1,31500.0
